exam,year,course,round,college_code,college_name,programme,category,closing_rank,source_pdf
PGCET,2023,MBA,ROUND - 1,B051,"CANARA BANK SCHOOL OF MANAGEMENT STUDIES,CENTRAL COLLEGE CAMPUS, BENGALURU BANGALORE",MB - MBA,GM,42669,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B053,"CANARA BANK SCHOOL OF MANAGEMENT STUDIES, JNANA BHARATHI CAMPUS,BANGALORE U BANGALORE",BG - MBA-GEN. MANAGEMENT,GM,28834,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B072,"THE KISHKINDA UNIVESITY NEAR SINDHIGERI, GP NO 735, H. HOSALLI SIRUGUPPA T",MB - MBA,GM,43260,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B073,"ST PHILOMENA'S COLLEGE BANNIMANTAP, MYSORE",MB - MBA,1G,20248,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B073,"ST PHILOMENA'S COLLEGE BANNIMANTAP, MYSORE",MB - MBA,2AG,21312,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B073,"ST PHILOMENA'S COLLEGE BANNIMANTAP, MYSORE",MB - MBA,2BG,13747,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B073,"ST PHILOMENA'S COLLEGE BANNIMANTAP, MYSORE",MB - MBA,3AG,13456,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B073,"ST PHILOMENA'S COLLEGE BANNIMANTAP, MYSORE",MB - MBA,3BG,15203,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B073,"ST PHILOMENA'S COLLEGE BANNIMANTAP, MYSORE",MB - MBA,GM,11751,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B073,"ST PHILOMENA'S COLLEGE BANNIMANTAP, MYSORE",MB - MBA,GMH,31545,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B073,"ST PHILOMENA'S COLLEGE BANNIMANTAP, MYSORE",MB - MBA,SCG,18132,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B073,"ST PHILOMENA'S COLLEGE BANNIMANTAP, MYSORE",MB - MBA,STG,23303,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B074,"SRI DEVARAJ URS INSTITUTE OF MANAGEMENT RLJIT CAMPUS, KODIGEHALLI",MB - MBA,1G,32661,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B074,"SRI DEVARAJ URS INSTITUTE OF MANAGEMENT RLJIT CAMPUS, KODIGEHALLI",MB - MBA,2AG,37052,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B074,"SRI DEVARAJ URS INSTITUTE OF MANAGEMENT RLJIT CAMPUS, KODIGEHALLI",MB - MBA,2BG,29599,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B074,"SRI DEVARAJ URS INSTITUTE OF MANAGEMENT RLJIT CAMPUS, KODIGEHALLI",MB - MBA,3AG,28119,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B074,"SRI DEVARAJ URS INSTITUTE OF MANAGEMENT RLJIT CAMPUS, KODIGEHALLI",MB - MBA,3BG,29357,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B074,"SRI DEVARAJ URS INSTITUTE OF MANAGEMENT RLJIT CAMPUS, KODIGEHALLI",MB - MBA,GM,27423,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B074,"SRI DEVARAJ URS INSTITUTE OF MANAGEMENT RLJIT CAMPUS, KODIGEHALLI",MB - MBA,SCG,43373,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B074,"SRI DEVARAJ URS INSTITUTE OF MANAGEMENT RLJIT CAMPUS, KODIGEHALLI",MB - MBA,STG,39388,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B075,"SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY AND MANAGEMENT VISHWOTHAMA NAGAR,",BF - MBA-FINANCE MAR. AND HRM,GM,43655,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B075,"SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY AND MANAGEMENT VISHWOTHAMA NAGAR,",BF - MBA-FINANCE MAR. AND HRM,NKN,11989,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B076,"SESHADRIPURAM COLLEGE TUMAKURU ""VIKASABHARATI"" CAMPUS, GANGASANDRA ROAD, KALPATHA",MB - MBA,1G,30621,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B076,"SESHADRIPURAM COLLEGE TUMAKURU ""VIKASABHARATI"" CAMPUS, GANGASANDRA ROAD, KALPATHA",MB - MBA,2AG,31340,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B076,"SESHADRIPURAM COLLEGE TUMAKURU ""VIKASABHARATI"" CAMPUS, GANGASANDRA ROAD, KALPATHA",MB - MBA,2BG,28637,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B076,"SESHADRIPURAM COLLEGE TUMAKURU ""VIKASABHARATI"" CAMPUS, GANGASANDRA ROAD, KALPATHA",MB - MBA,3AG,20430,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B076,"SESHADRIPURAM COLLEGE TUMAKURU ""VIKASABHARATI"" CAMPUS, GANGASANDRA ROAD, KALPATHA",MB - MBA,3BG,19586,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B076,"SESHADRIPURAM COLLEGE TUMAKURU ""VIKASABHARATI"" CAMPUS, GANGASANDRA ROAD, KALPATHA",MB - MBA,GM,18924,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B076,"SESHADRIPURAM COLLEGE TUMAKURU ""VIKASABHARATI"" CAMPUS, GANGASANDRA ROAD, KALPATHA",MB - MBA,SCG,36271,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B076,"SESHADRIPURAM COLLEGE TUMAKURU ""VIKASABHARATI"" CAMPUS, GANGASANDRA ROAD, KALPATHA",MB - MBA,STG,35842,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B077,"SESHADRIPURAM COLLEGE NO. 27, NAGAPPA STREET, SESHADRIPURAM, BENGALURU 5",MB - MBA,1G,16722,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B077,"SESHADRIPURAM COLLEGE NO. 27, NAGAPPA STREET, SESHADRIPURAM, BENGALURU 5",MB - MBA,2AG,14603,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B077,"SESHADRIPURAM COLLEGE NO. 27, NAGAPPA STREET, SESHADRIPURAM, BENGALURU 5",MB - MBA,2BG,12926,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B077,"SESHADRIPURAM COLLEGE NO. 27, NAGAPPA STREET, SESHADRIPURAM, BENGALURU 5",MB - MBA,3AG,10429,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B077,"SESHADRIPURAM COLLEGE NO. 27, NAGAPPA STREET, SESHADRIPURAM, BENGALURU 5",MB - MBA,3BG,11401,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B077,"SESHADRIPURAM COLLEGE NO. 27, NAGAPPA STREET, SESHADRIPURAM, BENGALURU 5",MB - MBA,GM,9824,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B077,"SESHADRIPURAM COLLEGE NO. 27, NAGAPPA STREET, SESHADRIPURAM, BENGALURU 5",MB - MBA,GMH,30815,PGCET_cutoff_2023_r1_mba_fin.pdf
PGCET,2023,MBA,ROUND - 1,B077,"SESHADRIPURAM COLLEGE NO. 27, NAGAPPA STREET, SESHADRIPURAM, BENGALURU 5",MB - MBA,SCG,24743,PGCET_cutoff_2023_r1_mba_fin.pdf
