row_id,confidence,college,city,region,programme,exam,DECISION_yes_no,strength_primary_secondary_vacant,cutoff_if_known,evidence_sentence,source_url
92,HIGH-exam-body-list,ABBS School of Management,Bengaluru,South,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
55,HIGH-exam-body-list,AIMA – Centre for Management Education,New Delhi,North,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
97,HIGH-exam-body-list,AIMS IBS Business School Bengaluru,Bengaluru,South,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
98,HIGH-exam-body-list,AIMS Institutes (Acharya Institute of Management and Sciences),Bengaluru,South,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
33,HIGH-exam-body-list,ATLAS SkillTech University,Mumbai,West,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
54,HIGH-exam-body-list,Accman Institute of Management,Greater Noida,North,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
93,HIGH-exam-body-list,Acharya Bangalore B-School,Bengaluru,South,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
94,HIGH-exam-body-list,Acharya Institute of Graduate Studies,Bengaluru,South,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
95,HIGH-exam-body-list,Acharya Institute of Technology,Bengaluru,South,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
1,HIGH-exam-body-list,Adamas University,Kolkata,East,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
96,HIGH-exam-body-list,Administrative Staff College of India,Hyderabad,South,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
99,HIGH-exam-body-list,"Alliance School of Business, Alliance University",Bengaluru,South,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
100,HIGH-exam-body-list,Amrita School of Business,Coimbatore,South,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
56,HIGH-exam-body-list,Apeejay School of Management,New Delhi,North,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
57,HIGH-exam-body-list,Asian Business School,Noida,North,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
101,HIGH-exam-body-list,Badruka School of Management,Hyderabad,South,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
2,HIGH-exam-body-list,Bharatiya Vidya Bhavan Institute of Management Science,Kolkata,East,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
3,HIGH-exam-body-list,Bhawanipur Global Campus,Kolkata,East,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
4,HIGH-exam-body-list,Birla Global University,Bhubaneswar,East,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
58,HIGH-exam-body-list,Birla Institute of Management Technology,Greater Noida,North,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
104,HIGH-exam-body-list,"CMR University, School of Management",Bengaluru,South,MBA/PGDM,MAT,,,,Listed by AIMA as a MAT participating institute.,https://aima.in/mat/participating-b-schools/
