college,city,course,exam,cutoff_published,strength_FILL_THIS,source_url,status,notes
R.V. Institute Of Management,Karnataka,MBA,pgcet,Closing rank 173 (2025 general merit),primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
Pes University,Karnataka,MBA,pgcet,Closing rank 357 (2025 general merit),primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
"M. S. Ramaiah Institute Of Technology-Mba Programme Vidya Soudha, Msr Nagar,Bangalore",Karnataka,MBA,pgcet,Closing rank 407 (2025 general merit),primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
Bms College Of Engineering,Karnataka,MBA,pgcet,Closing rank 652 (2025 general merit),primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
"Dayananda Sagar College Of Engineering Shavige Malleshwara Hills, Kumaraswamy Layout",Karnataka,MBA,pgcet,Closing rank 702 (2025 general merit),primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
Rv University,Karnataka,MBA,pgcet,Closing rank 982 (2025 general merit),primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
M. S. Ramaiah University Of Applied Sciences Bangalore,Karnataka,MBA,pgcet,"Closing rank 1,171 (2025 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
"M S Ramaiah College Of Arts, Science And Commerce Msr Nagar, Bangalore",Karnataka,MBA,pgcet,"Closing rank 1,253 (2025 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
Bms Institute Of Technology & Management,Karnataka,MBA,pgcet,"Closing rank 1,617 (2025 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
"Dayananda Sagar College Of Arts,Science & Commerce Shavige Malleshwara Hills",Karnataka,MBA,pgcet,"Closing rank 2,023 (2025 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
"Nitte Meenakshi Institute Of Technology Gollahalli, Govindapura,P.B",Karnataka,MBA,pgcet,"Closing rank 2,206 (2024 general merit)",primary,https://cetonline.karnataka.gov.in/kea/,VERIFIED-KEA,From KEA's published cutoffs. Add a row per college for any OTHER exam it accepts.
